course_number,instructor_name
368-0,Nikolaos Hardavellas
396-0-1,Victoria C. Chavez
396-0-2,Lily Ge
397-0-1,Yiji Zhang
150-0,Katherine E. Compton
298-0,Joseph Hummel
298-0,Maryam Hedayati
323-0,Simone Campanoni
327-0,Katherine E. Compton
329-0,Maia L. Jacobs
333-0,Jessica R. Hullman
335-0,Jinshuo Dong
396-0-1,Robert Findler
396-0-2,Xinyu Xing
396-0-3,Sruti S. Bhagavatula
396-0-4,Dmitrii Avdiukhin
409-0,Michael Rubenstein
469-0,Brenna D. Argall
496-0-4,Dmitrii Avdiukhin
496-0-5,Aravindan Vijayaraghavan
496-0-6,Miklos Z. Racz
496-0-7,Emma B. Alexander
496-0-8,Noshir Contractor
496-0-9,Samir Khuller
496-0-10,Eleanor M. O'Rourke
497-0-2,Andrew Crotty
